PGC,Name,RA,Dec,DCom,T,B.T,armC,armS,armR,barL,iRing,oRing,pRing,Pert,vDust,pDust,floc,spot,inc
212,IC5381,0.7971,15.9651,160.0,1,0.50,0.25,0.75,NA,0.25,0.50,0.00,0.00,0.25,0.75,0.25,0.25,0.00,0.75
218,NGC7814,0.8121,16.1454,15.8,0,0.75,NA,NA ,NA,NA,NA,NA,NA,0.00,1.00,0.00,0.00,0.00,1.00
243,NGC7808,0.8839,-10.7446,123.7,-2,1.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.00,0.00,0.00
255,UGC00017,0.9300,15.2183,13.3,9,0.00,0.00,NA,0.25,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.25
281,PGC000281,1.0025,-11.1778,161.9,7,0.25,0.00,0.25,0.75,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.25,0.25
282,PGC000282,1.0063,-11.1743,159.8,6,0.25,0.75,0.50,1.00,0.00,0.25,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.25
451,UGC00043,1.5103,14.4174,76.0,8,0.00,0.00,NA,NA,0.25,0.00,NA,NA,0.25,0.25,NA,0.25,0.00,0.75
548,UGC00056,1.7572,14.1063,78.1,8,0.25,0.25,0.25,1.00,0.25,0.25,0.00,0.00,0.50,0.25,NA,0.50,0.25,0.25
635,PGC000635,2.1429,-10.9494,128.3,2,0.50,0.25,0.75,0.00,1.00,0.50,0.00,0.00,0.50,0.25,NA,0.25,0.00,0.00
639,UGC00072,2.1596,-0.7347,168.9,1,0.75,0.00,NA,0.75,NA,0.00,NA,NA,0.50,1.00,0.25,0.25,0.00,0.75
647,NGC0014,2.1933,15.8164,13.1,9,0.00,0.00,NA,0.50,0.50,0.00,0.25,0.00,0.25,0.25,NA,0.50,0.50,0.25
670,UGC00083,2.3318,0.5990,253.6,4,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.25,0.00,1.00
825,UGC00109,2.9563,-1.0874,88.3,8,0.25,0.00,NA,0.75,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.50,0.25
963,UGC00139,3.6331,-0.7379,56.0,6,0.25,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.50
1058,NGC0060,3.9930,-0.3037,167.0,6,0.50,0.50,0.25,NA,0.00,0.25,0.00,0.00,0.75,0.25,NA,0.50,0.25,0.00
1221,PGC001221,4.7087,-10.3617,115.2,6,0.25,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.75,0.50,0.50,0.50,0.25
1224,PGC001224,4.7120,-10.3769,114.4,3,0.50,0.50,0.25,1.00,0.25,0.25,0.00,0.00,1.00,0.50,0.50,0.75,0.50,0.00
1237,UGC00180,4.7849,15.7493,156.6,3,0.50,0.25,NA,NA,0.25,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.00,0.75
1293,UGC00189,4.9902,15.0920,109.5,7,0.25,0.00,NA,NA,0.75,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.25,0.25
1306,NGC0078A,5.1077,0.8259,72.1,1,0.50,0.25,0.75,1.00,1.00,0.00,0.00,0.25,0.00,0.25,NA,0.00,0.00,0.50
1309,NGC0078B,5.1146,0.8333,77.9,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
1478,UGC00219,5.7382,16.2530,75.3,6,0.25,0.50,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.75
1523,NGC0099,5.9979,15.7705,76.4,6,0.25,0.75,0.50,1.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.75,0.25,0.00
1621,UGC00247,6.4963,14.3479,159.0,5,0.25,0.50,NA,0.75,0.50,0.00,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.75
1713,UGC00272,6.9577,-1.2000,55.1,7,0.00,0.50,0.50,0.00,0.25,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.00,0.50
1747,UGC00280,7.0858,-0.2182,259.4,3,0.50,0.50,0.25,0.00,0.75,0.50,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.00
1781,UGC00290,7.2853,15.8991,11.6,10,0.00,NA,NA,NA,NA,0.00,NA,NA,0.00,0.00,NA,0.50,0.25,1.00
1805,UGC00295,7.3874,-1.0959,248.2,4,0.50,0.75,0.00,1.00,0.75,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.50
1841,PGC001841,7.5292,-11.1133,48.9,3,0.50,0.50,0.50,1.00,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.00,0.50
1862,PGC001862,7.6245,-8.7840,75.5,6,0.25,0.50,0.50,1.00,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.00,0.75
1909,PGC001909,7.8054,-10.4808,50.0,4,0.25,0.75,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.00,0.50
1932,PGC001932,7.8987,-10.5061,49.8,4,0.25,0.50,NA,NA,NA,0.00,NA,NA,0.50,1.00,0.75,0.75,0.00,0.75
1933,UGC00316,7.8997,14.6120,162.5,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.25,0.25,0.00,1.00
1936,UGC00317,7.9305,0.9006,76.0,8,0.25,0.00,NA,0.75,0.75,0.25,0.00,0.00,0.00,0.00,NA,0.50,0.00,0.00
2016,UGC00328,8.3425,-1.1214,27.8,8,0.00,0.25,0.50,NA,0.50,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.00,0.00
2035,NGC0151,8.5092,-9.7064,52.3,2,0.50,0.25,0.50,0.00,0.75,0.25,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.50
2076,NGC0155,8.6670,-10.7665,87.2,-3,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
2149,NGC0163,8.9992,-10.1217,83.8,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.25,0.00,NA,0.00,0.00,0.25
2151,PGC002151,9.0079,-9.8889,69.2,7,0.25,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.00,0.25
2182,NGC0165,9.1196,-10.1050,82.5,5,0.50,0.50,0.75,1.00,0.50,0.25,0.00,0.00,0.25,0.50,0.50,0.00,0.00,0.25
2269,PGC002269,9.4892,-9.2536,73.6,6,0.25,0.75,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.00
2288,UGC00386,9.5991,15.0393,77.0,1,0.75,0.00,NA,0.50,1.00,0.00,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.50
2331,NGC0191,9.7471,-9.0026,85.3,1,0.75,0.25,0.50,0.00,0.50,0.25,0.00,0.00,1.00,0.50,0.50,0.25,0.00,0.00
2332,IC1563,9.7508,-9.0148,86.2,-3,0.75,0.00,NA,NA,NA,NA,NA,NA,0.25,0.25,NA,0.00,0.00,1.00
2352,NGC0192,9.8061,0.8637,58.5,1,0.75,0.25,0.50,1.00,0.25,0.75,0.00,0.00,0.00,0.75,0.50,0.25,0.00,0.50
